Suburb,Address,Rooms,Type,Method,Date,Distance from CBD,Postcode,Bedroom2,Bathroom,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Landsize_winsorized,Price_winsorized,PricePerSquareMeter
Abbotsford,85 Turner St,2,house,S,3/12/2016,2.5,3067.0,2.0,1.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0,202.0,1480000.0,7326.732673267326
Abbotsford,25 Bloomburg St,2,house,S,4/02/2016,2.5,3067.0,2.0,1.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0,156.0,1035000.0,6634.615384615385
Abbotsford,5 Charles St,3,house,SP,4/03/2017,2.5,3067.0,3.0,2.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0,134.0,1465000.0,10932.835820895523
Abbotsford,40 Federation La,3,house,PI,4/03/2017,2.5,3067.0,3.0,2.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0,94.0,850000.0,9042.553191489362
Abbotsford,55a Park St,4,house,VB,4/06/2016,2.5,3067.0,3.0,1.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0,120.0,1600000.0,13333.333333333334
Abbotsford,129 Charles St,2,house,S,7/05/2016,2.5,3067.0,2.0,1.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0,181.0,941000.0,5198.8950276243095
Abbotsford,124 Yarra St,3,house,S,7/05/2016,2.5,3067.0,4.0,2.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0,245.0,1876000.0,7657.142857142857
Abbotsford,98 Charles St,2,house,S,8/10/2016,2.5,3067.0,2.0,1.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0,256.0,1636000.0,6390.625
Abbotsford,6/241 Nicholson St,1,unit,S,8/10/2016,2.5,3067.0,1.0,1.0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019.0,533.0,300000.0,562.8517823639775
Abbotsford,10 Valiant St,2,house,S,8/10/2016,2.5,3067.0,3.0,1.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0,220.0,1097000.0,4986.363636363636
Abbotsford,411/8 Grosvenor St,2,unit,VB,12/11/2016,2.5,3067.0,2.0,2.0,Yarra,-37.811,145.0067,Northern Metropolitan,4019.0,533.0,700000.0,1313.3208255159475
Abbotsford,40 Nicholson St,3,house,VB,12/11/2016,2.5,3067.0,3.0,2.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0,214.0,1350000.0,6308.411214953271
Abbotsford,123/56 Nicholson St,2,unit,S,12/11/2016,2.5,3067.0,2.0,2.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,533.0,750000.0,1407.1294559099438
Abbotsford,45 William St,2,house,S,13/08/2016,2.5,3067.0,2.0,1.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0,195.0,1172500.0,6012.820512820513
Abbotsford,7/20 Abbotsford St,1,unit,SP,14/05/2016,2.5,3067.0,1.0,1.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,533.0,441000.0,827.3921200750469
Abbotsford,16 William St,2,house,S,15/10/2016,2.5,3067.0,2.0,1.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0,238.0,1310000.0,5504.201680672269
Abbotsford,42 Henry St,3,house,S,16/07/2016,2.5,3067.0,3.0,2.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0,113.0,1200000.0,10619.469026548673
Abbotsford,78 Yarra St,3,house,S,16/07/2016,2.5,3067.0,2.0,1.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019.0,138.0,1176500.0,8525.36231884058
Abbotsford,196 Nicholson St,3,house,S,17/09/2016,2.5,3067.0,3.0,1.0,Yarra,-37.8022,144.9975,Northern Metropolitan,4019.0,183.0,955000.0,5218.579234972678
Abbotsford,42 Valiant St,2,house,S,17/09/2016,2.5,3067.0,2.0,1.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019.0,150.0,890000.0,5933.333333333333
Abbotsford,3/72 Charles St,4,house,PI,18/03/2017,2.5,3067.0,4.0,2.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0,780.0,1330000.0,1705.128205128205
Abbotsford,13/11 Nicholson St,3,townhouse,S,18/03/2017,2.5,3067.0,3.0,2.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0,533.0,900000.0,1688.5553470919324
Abbotsford,6/219 Nicholson St,2,unit,S,18/06/2016,2.5,3067.0,2.0,1.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0,533.0,500000.0,938.0863039399625
Abbotsford,52a William St,2,house,PI,18/06/2016,2.5,3067.0,2.0,2.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0,124.0,1100000.0,8870.967741935483
Abbotsford,49 Park St,2,house,S,19/11/2016,2.5,3067.0,2.0,1.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0,147.0,1315000.0,8945.578231292517
Abbotsford,5/20 Abbotsford St,1,unit,SP,22/08/2016,2.5,3067.0,1.0,1.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,533.0,426000.0,799.249530956848
Abbotsford,48 Abbotsford St,3,house,PI,22/08/2016,2.5,3067.0,3.0,3.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0,166.0,1447500.0,8719.87951807229
Abbotsford,116/56 Nicholson St,1,unit,S,22/08/2016,2.5,3067.0,1.0,1.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,533.0,457000.0,857.4108818011257
Abbotsford,159 Park St,2,house,S,22/08/2016,2.5,3067.0,2.0,2.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0,98.0,1135000.0,11581.632653061224
Abbotsford,31 Turner St,4,house,S,24/09/2016,2.5,3067.0,4.0,3.0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0,533.0,1542000.0,2893.0581613508443
Abbotsford,166 Gipps St,3,house,S,25/02/2017,2.5,3067.0,3.0,2.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0,147.0,1290000.0,8775.510204081633
Abbotsford,60 Stafford St,3,house,S,25/02/2017,2.5,3067.0,3.0,1.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0,168.0,1290000.0,7678.571428571428
Abbotsford,11/205 Gipps St,1,unit,S,26/07/2016,2.5,3067.0,1.0,1.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,533.0,470000.0,881.8011257035647
Abbotsford,47 Studley St,2,house,S,27/11/2016,2.5,3067.0,2.0,1.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0,162.0,1180000.0,7283.950617283951
Abbotsford,45 Yarra St,3,house,SP,27/11/2016,2.5,3067.0,3.0,2.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0,120.0,1195000.0,9958.333333333334
Abbotsford,200 Nicholson St,2,house,S,28/05/2016,2.5,3067.0,2.0,1.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0,182.0,1012500.0,5563.186813186813
Abbotsford,27 Charles St,2,house,S,30/07/2016,2.5,3067.0,2.0,1.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0,172.0,1030000.0,5988.372093023256
Airport West,154 Halsey Rd,3,townhouse,PI,3/09/2016,13.5,3042.0,3.0,2.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0,303.0,840000.0,2772.2772277227723
Airport West,50 Bedford St,3,house,VB,3/12/2016,13.5,3042.0,3.0,2.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,533.0,730000.0,1369.6060037523453
Airport West,50 Bedford St,3,house,SP,4/03/2017,13.5,3042.0,3.0,2.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,533.0,770000.0,1444.6529080675423
Airport West,23 Hart St,2,house,S,4/03/2017,13.5,3042.0,2.0,1.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0,272.0,603000.0,2216.9117647058824
Airport West,1/80 Hawker St,3,townhouse,S,4/03/2017,13.5,3042.0,3.0,2.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0,239.0,700000.0,2928.8702928870293
Airport West,1/37 Hillside Gr,3,house,S,4/03/2017,13.5,3042.0,2.0,1.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0,290.0,600000.0,2068.9655172413795
Airport West,2/49 McIntosh St,2,unit,VB,4/03/2017,13.5,3042.0,2.0,1.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464.0,168.0,500000.0,2976.190476190476
Airport West,54 Marshall Rd,3,house,S,6/08/2016,13.5,3042.0,2.0,1.0,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0,620.0,720000.0,1161.2903225806451
